tanggal,nama_provinsi,lat,lon,hujan_mm,suhu_rata,kelembaban_tanah,persentase_penduduk_miskin
2024-09-29,ACEH,4.6951,96.7494,18.5,19.5,0.503,14.23
2024-09-30,ACEH,4.6951,96.7494,8.4,19.5,0.496,14.23
2024-10-01,ACEH,4.6951,96.7494,0.1,19.7,0.487,14.23
2024-10-02,ACEH,4.6951,96.7494,31.6,20.3,0.49,14.23
2024-10-03,ACEH,4.6951,96.7494,29.4,20.3,0.5,14.23
2024-10-04,ACEH,4.6951,96.7494,11.9,19.6,0.498,14.23
2024-10-05,ACEH,4.6951,96.7494,15.1,19.5,0.499,14.23
2024-10-06,ACEH,4.6951,96.7494,26.2,19.8,0.507,14.23
2024-10-07,ACEH,4.6951,96.7494,27.5,20.3,0.509,14.23
2024-10-08,ACEH,4.6951,96.7494,8.7,20.2,0.504,14.23
2024-10-09,ACEH,4.6951,96.7494,15.2,20.2,0.506,14.23
2024-10-10,ACEH,4.6951,96.7494,14.8,20.4,0.505,14.23
2024-10-11,ACEH,4.6951,96.7494,23.5,20.7,0.507,14.23
2024-10-12,ACEH,4.6951,96.7494,32.7,20.1,0.507,14.23
2024-10-13,ACEH,4.6951,96.7494,17.5,19.5,0.5,14.23
2024-10-14,ACEH,4.6951,96.7494,3.7,20.4,0.494,14.23
2024-10-15,ACEH,4.6951,96.7494,3.2,20.4,0.499,14.23
2024-10-16,ACEH,4.6951,96.7494,2.4,21.1,0.493,14.23
2024-10-17,ACEH,4.6951,96.7494,29.9,20.6,0.497,14.23
2024-10-18,ACEH,4.6951,96.7494,9.6,20.6,0.498,14.23
2024-10-19,ACEH,4.6951,96.7494,0.2,20.4,0.479,14.23
2024-10-20,ACEH,4.6951,96.7494,0.1,20.8,0.462,14.23
2024-10-21,ACEH,4.6951,96.7494,0.0,20.5,0.446,14.23
2024-10-22,ACEH,4.6951,96.7494,0.0,19.7,0.431,14.23
2024-10-23,ACEH,4.6951,96.7494,0.0,19.9,0.418,14.23
2024-10-24,ACEH,4.6951,96.7494,0.0,21.0,0.406,14.23
2024-10-25,ACEH,4.6951,96.7494,0.3,20.1,0.398,14.23
